店名,住所,電話番号,取扱品種
ｍａｍｍ　ｍｉａ（マンマミーア,東京都千代田区一ツ橋　１丁目１－１,332142809,0458:ヱビス樽生　２０Ｌ
ｍａｍｍ　ｍｉａ（マンマミーア,東京都千代田区一ツ橋　１丁目１－１,332142809,0806:ヱビス樽生　１０Ｌ
かっぽうぎ　竹橋パレスサイドビル店,東京都千代田区一ツ橋　１丁目１－１　パレスサイドビル　１Ｆ,352232225,P297:黒ラベル樽生２０Ｌ
ニユートーキヨー　パレスサイド店,東京都千代田区一ツ橋　１丁目１－１　パレスサイドビル地下１階,332162411,P297:黒ラベル樽生２０Ｌ
ニユートーキヨー　パレスサイド店,東京都千代田区一ツ橋　１丁目１－１　パレスサイドビル地下１階,332162411,S016:エーデル樽生１０Ｌ
ニユートーキヨー　パレスサイド店,東京都千代田区一ツ橋　１丁目１－１　パレスサイドビル地下１階,332162411,P296:黒ラベル樽生１０Ｌ
如水会館　一橋クラブ,東京都千代田区一ツ橋　２丁目１－１,332656054,0458:ヱビス樽生　２０Ｌ
如水会館　一橋クラブ,東京都千代田区一ツ橋　２丁目１－１,332656054,0458:ヱビス樽生　２０Ｌ
如水会館,東京都千代田区一ツ橋　２丁目１－１,332611101,P297:黒ラベル樽生２０Ｌ
如水会館,東京都千代田区一ツ橋　２丁目１－１,332611101,P297:黒ラベル樽生２０Ｌ
如水会館　ビアガーデン,東京都千代田区一ツ橋　２丁目１－１,332611101,0458:ヱビス樽生　２０Ｌ
如水会館　ビアガーデン,東京都千代田区一ツ橋　２丁目１－１,332611101,P297:黒ラベル樽生２０Ｌ
東京會舘　如水ビアガーデン,東京都千代田区一ツ橋　２丁目１－１　如水会館３Ｆ,332611101,P297:黒ラベル樽生２０Ｌ
東京會舘　如水ビアガーデン,東京都千代田区一ツ橋　２丁目１－１　如水会館３Ｆ,332611101,P297:黒ラベル樽生２０Ｌ
東京會舘　如水ビアガーデン,東京都千代田区一ツ橋　２丁目１－１　如水会館３Ｆ,332611101,P297:黒ラベル樽生２０Ｌ
天重支店,東京都千代田区一番町１０－８　一番町ウエストビル　Ｂ１,332370267,0806:ヱビス樽生　１０Ｌ
イタリアン　麹町ＭＡＲ,東京都千代田区一番町１５－８,362723902,P296:黒ラベル樽生１０Ｌ
ＨＥＡＲＴＳ（ハーツ）,東京都千代田区一番町２３－２　ロイヤルコート１０２,332656789,0806:ヱビス樽生　１０Ｌ
